study,Key,Item_Type,Publication_Year,Author,Title,Publication_Title,ISSN,DOI,abstract_note,date,pages,journal_abbreviation,library_catalog,extra,link,automatic_tags,cites
ROS,IU4XY5YQ,journalArticle,2012,"Smith, Eric E.; Schneider, Julie A.; Wardlaw, Joanna M.; Greenberg, Steven M.",Cerebral microinfarcts: the invisible lesions,The Lancet. Neurology,1474-4465,10.1016/S1474-4422(11)70307-6,"The association between small but still visible lacunar infarcts and cognitive decline has been established by population-based radiological and pathological studies. Microscopic examination of brain sections shows even smaller but substantially more numerous microinfarcts, the focus of this Review. These lesions often result from small vessel pathologies such as arteriolosclerosis or cerebral amyloid angiopathy. They typically go undetected in clinical-radiological correlation studies that rely on conventional structural MRI, although the largest acute microinfarcts can be detected by diffusion-weighted imaging. In view of their high numbers and widespread distribution, microinfarcts could directly disrupt important cognitive networks and thus account for some of the neurological dysfunction associated with lesions visible on conventional MRI such as lacunar infarcts and white matter hyperintensities. Standardised neuropathological assessment criteria and the development of non-invasive means of detection during life would be major steps towards understanding the causes and consequences of otherwise macroscopically invisible microinfarcts.",2012-03,272-282,Lancet Neurol,PubMed,PMID: 22341035 PMCID: PMC3359329,http://www.ncbi.nlm.nih.gov/pubmed/22341035,"Humans; Brain; Nerve Fibers, Myelinated; Cognition Disorders; Brain Infarction",
ROS,BAASKBLJ,journalArticle,2012,"Pankratz, Nathan; Beecham, Gary W.; DeStefano, Anita L.; Dawson, Ted M.; Doheny, Kimberly F.; Factor, Stewart A.; Hamza, Taye H.; Hung, Albert Y.; Hyman, Bradley T.; Ivinson, Adrian J.; Krainc, Dmitri; Latourelle, Jeanne C.; Clark, Lorraine N.; Marder, Karen; Martin, Eden R.; Mayeux, Richard; Ross, Owen A.; Scherzer, Clemens R.; Simon, David K.; Tanner, Caroline; Vance, Jeffery M.; Wszolek, Zbigniew K.; Zabetian, Cyrus P.; Myers, Richard H.; Payami, Haydeh; Scott, William K.; Foroud, Tatiana; PD GWAS Consortium","Meta-analysis of Parkinson's disease: identification of a novel locus, RIT2",Annals of Neurology,1531-8249,10.1002/ana.22687,"OBJECTIVE: Genome-wide association (GWAS) methods have identified genes contributing to Parkinson's disease (PD); we sought to identify additional genes associated with PD susceptibility. METHODS: A 2-stage design was used. First, individual level genotypic data from 5 recent PD GWAS (Discovery Sample: 4,238 PD cases and 4,239 controls) were combined. Following imputation, a logistic regression model was employed in each dataset to test for association with PD susceptibility and results from each dataset were meta-analyzed. Second, 768 single-nucleotide polymorphisms (SNPs) were genotyped in an independent Replication Sample (3,738 cases and 2,111 controls). RESULTS: Genome-wide significance was reached for SNPs in SNCA (rs356165; G: odds ratio [OR]=1.37; p=9.3×10(-21)), MAPT (rs242559; C: OR=0.78; p=1.5×10(-10)), GAK/DGKQ (rs11248051; T: OR=1.35; p=8.2×10(-9)/rs11248060; T: OR=1.35; p=2.0×10(-9)), and the human leukocyte antigen (HLA) region (rs3129882; A: OR=0.83; p=1.2×10(-8)), which were previously reported. The Replication Sample confirmed the associations with SNCA, MAPT, and the HLA region and also with GBA (E326K; OR=1.71; p=5×10(-8) Combined Sample) (N370; OR=3.08; p=7×10(-5) Replication sample). A novel PD susceptibility locus, RIT2, on chromosome 18 (rs12456492; p=5×10(-5) Discovery Sample; p=1.52×10(-7) Replication sample; p=2×10(-10) Combined Sample) was replicated. Conditional analyses within each of the replicated regions identified distinct SNP associations within GBA and SNCA, suggesting that there may be multiple risk alleles within these genes. INTERPRETATION: We identified a novel PD susceptibility locus, RIT2, replicated several previously identified loci, and identified more than 1 risk allele within SNCA and GBA.",2012-03,370-384,Ann Neurol,PubMed,PMID: 22451204 PMCID: PMC3354734,http://www.ncbi.nlm.nih.gov/pubmed/22451204,"Humans; Polymorphism, Single Nucleotide; Genome-Wide Association Study; Glycoproteins; Nerve Tissue Proteins; Parkinson Disease; Genetic Loci; Monomeric GTP-Binding Proteins",
ROS,UUBS39EK,journalArticle,2012,"Rosano, Caterina; Bennett, David A.; Newman, Anne B.; Venkatraman, Vijay; Yaffe, Kristine; Harris, Tamara; Kritchevsky, Stephen; Aizenstein, Howard J.",Patterns of focal gray matter atrophy are associated with bradykinesia and gait disturbances in older adults,"The Journals of Gerontology. Series A, Biological Sciences and Medical Sciences",1758-535X,10.1093/gerona/glr262,"OBJECTIVES: Identify the neuroimaging correlates of parkinsonian signs in older adults living in the community. METHODS: Magnetic resonance imaging was obtained in 307 adults (82.9 years, 55% women, 39% blacks) concurrently with the Unified Parkinson Disease Rating scale-motor part. Magnetic resonance imaging measures included volume of whole-brain white matter hyperintensities and of gray matter for primary sensorimotor, supplementary motor, medial temporal areas, cerebellum, prefronto-parietal cortex, and basal ganglia. RESULTS: About 25% of the participants had bradykinesia, 26% had gait disturbances, and 12% had tremor. Compared with those without, adults with any one of these signs were older, walked more slowly, had worse scores on tests of cognition, mood and processing speed, and higher white matter hyperintensities volume (all p ≤ .002). Gray matter volume of primary sensorimotor area was associated with bradykinesia (standardized odds ratio [95% confidence interval]: 0.46 [0.31, 0.68], p < .0001), and gray matter volume of medial temporal area was associated with gait disturbances (0.56 [0.42, 0.83], p < .0001), independent of white matter hyperintensities volume and age. Further adjustment for measures of muscle strength, cardiovascular health factors, cognition, processing speed, and mood or for gait speed did not substantially change these results. CONCLUSIONS: Atrophy within primary sensorimotor and medial temporal areas might be important for development of bradykinesia and of gait disturbances in community-dwelling elderly adults. The pathways underlying these associations may not include changes in white matter hyperintensities volume, cognition, information processing speed, mood, or gait speed.",2012-09,957-962,J Gerontol A Biol Sci Med Sci,PubMed,PMID: 22367436 PMCID: PMC3436092,http://www.ncbi.nlm.nih.gov/pubmed/22367436,"Aged; Aged, 80 and over; Cohort Studies; Female; Humans; Male; Brain; Aging; Parkinsonian Disorders; Magnetic Resonance Imaging; Atrophy; Gait Disorders, Neurologic; Hypokinesia; Tremor",
ROS,E599AS5U,journalArticle,2012,"Talbot, Konrad; Wang, Hoau-Yan; Kazi, Hala; Han, Li-Ying; Bakshi, Kalindi P.; Stucky, Andres; Fuino, Robert L.; Kawaguchi, Krista R.; Samoyedny, Andrew J.; Wilson, Robert S.; Arvanitakis, Zoe; Schneider, Julie A.; Wolf, Bryan A.; Bennett, David A.; Trojanowski, John Q.; Arnold, Steven E.","Demonstrated brain insulin resistance in Alzheimer's disease patients is associated with IGF-1 resistance, IRS-1 dysregulation, and cognitive decline",The Journal of Clinical Investigation,1558-8238,10.1172/JCI59903,"While a potential causal factor in Alzheimer's disease (AD), brain insulin resistance has not been demonstrated directly in that disorder. We provide such a demonstration here by showing that the hippocampal formation (HF) and, to a lesser degree, the cerebellar cortex in AD cases without diabetes exhibit markedly reduced responses to insulin signaling in the IR→IRS-1→PI3K signaling pathway with greatly reduced responses to IGF-1 in the IGF-1R→IRS-2→PI3K signaling pathway. Reduced insulin responses were maximal at the level of IRS-1 and were consistently associated with basal elevations in IRS-1 phosphorylated at serine 616 (IRS-1 pS⁶¹⁶) and IRS-1 pS⁶³⁶/⁶³⁹. In the HF, these candidate biomarkers of brain insulin resistance increased commonly and progressively from normal cases to mild cognitively impaired cases to AD cases regardless of diabetes or APOE ε4 status. Levels of IRS-1 pS⁶¹⁶ and IRS-1 pS⁶³⁶/⁶³⁹ and their activated kinases correlated positively with those of oligomeric Aβ plaques and were negatively associated with episodic and working memory, even after adjusting for Aβ plaques, neurofibrillary tangles, and APOE ε4. Brain insulin resistance thus appears to be an early and common feature of AD, a phenomenon accompanied by IGF-1 resistance and closely associated with IRS-1 dysfunction potentially triggered by Aβ oligomers and yet promoting cognitive decline independent of classic AD pathology.",2012-04,1316-1338,J Clin Invest,PubMed,PMID: 22476197 PMCID: PMC3314463,http://www.ncbi.nlm.nih.gov/pubmed/22476197,"Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Signal Transduction; Brain; Alzheimer Disease; Apolipoprotein E4; Insulin; Insulin Resistance; Hippocampus; Cognition Disorders; Glucose; Phosphorylation; Protein Processing, Post-Translational; Cerebellar Cortex; Diabetes Complications; Recombinant Proteins; Drug Resistance; Insulin Receptor Substrate Proteins; Insulin-Like Growth Factor I; Phosphoserine",
ROS,H3YVMKQH,journalArticle,2012,"Raj, Towfique; Shulman, Joshua M.; Keenan, Brendan T.; Chibnik, Lori B.; Evans, Denis A.; Bennett, David A.; Stranger, Barbara E.; De Jager, Philip L.",Alzheimer disease susceptibility loci: evidence for a protein network under natural selection,American Journal of Human Genetics,1537-6605,10.1016/j.ajhg.2012.02.022,"Recent genome-wide association studies have identified a number of susceptibility loci for Alzheimer disease (AD). To understand the functional consequences and potential interactions of the associated loci, we explored large-scale data sets interrogating the human genome for evidence of positive natural selection. Our findings provide significant evidence for signatures of recent positive selection acting on several haplotypes carrying AD susceptibility alleles; interestingly, the genes found in these selected haplotypes can be assembled, independently, into a molecular complex via a protein-protein interaction (PPI) network approach. These results suggest a possible coevolution of genes encoding physically-interacting proteins that underlie AD susceptibility and are coexpressed in different tissues. In particular, PICALM, BIN1, CD2AP, and EPHA1 are interconnected through multiple interacting proteins and appear to have coordinated evidence of selection in the same human population, suggesting that they may be involved in the execution of a shared molecular function. This observation may be AD-specific, as the 12 loci associated with Parkinson disease do not demonstrate excess evidence of natural selection. The context for selection is probably unrelated to AD itself; it is likely that these genes interact in another context, such as in immune cells, where we observe cis-regulatory effects at several of the selected AD loci.",06/04/2012,720-726,Am J Hum Genet,PubMed,PMID: 22482808 PMCID: PMC3322230,http://www.ncbi.nlm.nih.gov/pubmed/22482808,"Haplotypes; Humans; Polymorphism, Single Nucleotide; Selection, Genetic; Genetic Predisposition to Disease; Cytoskeletal Proteins; Adaptor Proteins, Signal Transducing; Genome-Wide Association Study; Alzheimer Disease; Tumor Suppressor Proteins; Age of Onset; Nuclear Proteins; Genetic Loci; Protein Interaction Maps; Monomeric Clathrin Assembly Proteins; Receptor, EphA1",
ROS,5N29WFXJ,journalArticle,2012,"Arnold, S. E.; Xie, S. X.; Leung, Y.-Y.; Wang, L.-S.; Kling, M. A.; Han, X.; Kim, E. J.; Wolk, D. A.; Bennett, D. A.; Chen-Plotkin, A.; Grossman, M.; Hu, W.; Lee, V. M.-Y.; Mackin, R. Scott; Trojanowski, J. Q.; Wilson, R. S.; Shaw, L. M.",Plasma biomarkers of depressive symptoms in older adults,Translational Psychiatry,2158-3188,10.1038/tp.2011.63,"The pathophysiology of negative affect states in older adults is complex, and a host of central nervous system and peripheral systemic mechanisms may play primary or contributing roles. We conducted an unbiased analysis of 146 plasma analytes in a multiplex biochemical biomarker study in relation to number of depressive symptoms endorsed by 566 participants in the Alzheimer's Disease Neuroimaging Initiative (ADNI) at their baseline and 1-year assessments. Analytes that were most highly associated with depressive symptoms included hepatocyte growth factor, insulin polypeptides, pregnancy-associated plasma protein-A and vascular endothelial growth factor. Separate regression models assessed contributions of past history of psychiatric illness, antidepressant or other psychotropic medicine, apolipoprotein E genotype, body mass index, serum glucose and cerebrospinal fluid (CSF) τ and amyloid levels, and none of these values significantly attenuated the main effects of the candidate analyte levels for depressive symptoms score. Ensemble machine learning with Random Forests found good accuracy (~80%) in classifying groups with and without depressive symptoms. These data begin to identify biochemical biomarkers of depressive symptoms in older adults that may be useful in investigations of pathophysiological mechanisms of depression in aging and neurodegenerative dementias and as targets of novel treatment approaches.",03/01/2012,e65,Transl Psychiatry,PubMed,PMID: 22832727 PMCID: PMC3309547,http://www.ncbi.nlm.nih.gov/pubmed/22832727,"Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Peptide Fragments; Biomarkers; Follow-Up Studies; Alzheimer Disease; Insulin; Reference Values; Depressive Disorder; Statistics as Topic; Artificial Intelligence; Hepatocyte Growth Factor; Pregnancy-Associated Plasma Protein-A; Vascular Endothelial Growth Factor A",
ROS,7BJ6XFZ5,journalArticle,2012,"Montine, Thomas J.; Phelps, Creighton H.; Beach, Thomas G.; Bigio, Eileen H.; Cairns, Nigel J.; Dickson, Dennis W.; Duyckaerts, Charles; Frosch, Matthew P.; Masliah, Eliezer; Mirra, Suzanne S.; Nelson, Peter T.; Schneider, Julie A.; Thal, Dietmar Rudolf; Trojanowski, John Q.; Vinters, Harry V.; Hyman, Bradley T.; National Institute on Aging; Alzheimer’s Association",National Institute on Aging-Alzheimer's Association guidelines for the neuropathologic assessment of Alzheimer's disease: a practical approach,Acta Neuropathologica,1432-0533,10.1007/s00401-011-0910-3,"We present a practical guide for the implementation of recently revised National Institute on Aging-Alzheimer's Association guidelines for the neuropathologic assessment of Alzheimer's disease (AD). Major revisions from previous consensus criteria are: (1) recognition that AD neuropathologic changes may occur in the apparent absence of cognitive impairment, (2) an ""ABC"" score for AD neuropathologic change that incorporates histopathologic assessments of amyloid β deposits (A), staging of neurofibrillary tangles (B), and scoring of neuritic plaques (C), and (3) more detailed approaches for assessing commonly co-morbid conditions such as Lewy body disease, vascular brain injury, hippocampal sclerosis, and TAR DNA binding protein (TDP)-43 immunoreactive inclusions. Recommendations also are made for the minimum sampling of brain, preferred staining methods with acceptable alternatives, reporting of results, and clinico-pathologic correlations.",2012-01,01-nov,Acta Neuropathol,PubMed,PMID: 22101365 PMCID: PMC3268003,http://www.ncbi.nlm.nih.gov/pubmed/22101365,Humans; United States; DNA-Binding Proteins; Brain; Alzheimer Disease; Hippocampus; Sclerosis; Lewy Body Disease; National Institute on Aging (U.S.); Cerebrovascular Disorders; Cerebrovascular Trauma,
ROS,ZXD2VRYI,journalArticle,2012,"Choi, Seok Rye; Schneider, Julie A.; Bennett, David A.; Beach, Thomas G.; Bedell, Barry J.; Zehntner, Simone P.; Krautkramer, Michael J.; Kung, Hank F.; Skovronsky, Daniel M.; Hefti, Franz; Clark, Christopher M.",Correlation of amyloid PET ligand florbetapir F 18 binding with Aβ aggregation and neuritic plaque deposition in postmortem brain tissue,Alzheimer Disease and Associated Disorders,1546-4156,10.1097/WAD.0b013e31821300bc,"BACKGROUND: Florbetapir F 18 (F-AV-45) is a positron emission tomography imaging ligand for the detection of amyloid aggregation associated with Alzheimer disease. Earlier data showed that florbetapir F 18 binds with high affinity to β-amyloid (Aβ) plaques in human brain homogenates (Kd=3.7 nM) and has favorable imaging pharmacokinetic properties, including rapid brain penetration and washout. This study used human autopsy brain tissue to evaluate the correlation between in vitro florbetapir F 18 binding and Aβ density measured by established neuropathologic methods. METHODS: The localization and density of florbetapir F 18 binding in frozen and formalin-fixed paraffin-embedded sections of postmortem brain tissue from 40 patients with a varying degree of neurodegenerative pathology was assessed by standard florbetapir F 18 autoradiography and correlated with the localization and density of Aβ identified by silver staining, thioflavin S staining, and immunohistochemistry. RESULTS: There were strong quantitative correlations between florbetapir F 18 tissue binding and both Aβ plaques identified by light microscopy (Silver staining and thioflavin S fluorescence) and by immunohistochemical measurements of Aβ using 3 antibodies recognizing different epitopes of the Aβ peptide. Florbetapir F 18 did not bind to neurofibrillary tangles. CONCLUSIONS: Florbetapir F 18 selectively binds Aβ in human brain tissue. The binding intensity was quantitatively correlated with the density of Aβ plaques identified by standard neuropathologic techniques and correlated with the density of Aβ measured by immunohistochemistry. As Aβ plaques are a defining neuropathologic feature for Alzheimer disease, these results support the use of florbetapir F 18 as an amyloid positron emission tomography ligand to identify the presence of Alzheimer disease pathology in patients with signs and symptoms of progressive late-life cognitive impairment.",04/07/2005,ago-16,Alzheimer Dis Assoc Disord,PubMed,PMID: 22354138 PMCID: PMC3286131,http://www.ncbi.nlm.nih.gov/pubmed/22354138,"Humans; Amyloid; Amyloid beta-Peptides; Brain; Alzheimer Disease; Plaque, Amyloid; Neurofibrillary Tangles; Positron-Emission Tomography; Autopsy; Aniline Compounds; Ethylene Glycols; Autoradiography; Radiopharmaceuticals",
ROS,87IRDDLQ,journalArticle,2012,"Desai Bradaric, Brinda; Patel, Aditiben; Schneider, Julie A.; Carvey, Paul M.; Hendey, Bill","Evidence for angiogenesis in Parkinson's disease, incidental Lewy body disease, and progressive supranuclear palsy","Journal of Neural Transmission (Vienna, Austria: 1996)",1435-1463,10.1007/s00702-011-0684-8,"Angiogenesis has not been extensively studied in Parkinson's disease (PD) despite being associated with other neurodegenerative disorders. Post-mortem human brain tissues were obtained from subjects with pathologically confirmed Parkinson's disease (PD) and progressive supranuclear palsy (PSP), a rapidly progressing Parkinsonian-like disorder. Tissues were also obtained from subjects with incidental Lewy body disease (iLBD) who had Lewy bodies in the substantia nigra pars compacta (SN(pc)) but had not been diagnosed with PD, and age-matched controls without Lewy body pathology. The SNpc, putamen, locus ceruleus (LC) and midfrontal cortex were examined for integrin αvβ3, a marker for angiogenesis, along with vessel number and activated microglia. All parkinsonian syndromes had greater αvβ3 in the LC and the SN(pc), while only PD and PSP subjects had elevated αvβ3 in the putamen compared to controls. PD and PSP subjects also had increases in microglia number and activation in the SN(pc) suggesting a link between inflammation and clinical disease. Microglia activation in iLBD subjects was limited to the LC, an area involved at an early stage of PD. Likewise, iLBD subjects did not differ from controls in αvβ3 staining in the putamen, a late area of involvement in PD. The presence of αvβ3 reactive vessels in PD and its syndromes is indicative of newly created vessels that have not likely developed the restrictive properties of the blood brain barrier. Such angiogenic vessels could contribute to neuroinflammation by failing to protect the parenchyma from peripheral immune cells and inflammatory or toxic factors in the peripheral circulation.",2012-01,59-71,J Neural Transm (Vienna),PubMed,PMID: 21748523 PMCID: PMC3352316,http://www.ncbi.nlm.nih.gov/pubmed/21748523,"Aged; Aged, 80 and over; Female; Humans; Male; Brain; Microglia; Neurons; Parkinson Disease; Lewy Body Disease; Analysis of Variance; Postmortem Changes; Integrin alphaVbeta3; Neovascularization, Pathologic; Supranuclear Palsy, Progressive",
ROS,MLAUGSGD,journalArticle,2012,"Yu, Lei; Boyle, Patricia; Wilson, Robert S.; Segawa, Eisuke; Leurgans, Sue; De Jager, Philip L.; Bennett, David A.",A random change point model for cognitive decline in Alzheimer's disease and mild cognitive impairment,Neuroepidemiology,1423-0208,10.1159/000339365,"BACKGROUND: We present a random change point model to characterize decline in cognition among community-based elderly who developed Alzheimer's disease (AD) or amnestic mild cognitive impairment (MCI), and to examine how decline varies with age, sex, education, and APOE status. METHODS: Using longitudinal cohort data on cognitive function, we fit a piecewise linear trajectory with a random change point that allows different rates of cognitive decline before and after the change point. We estimated the change point that signals the onset of cognitive impairment, and examined the association of risk factors with the location of the change point as well as the rates of decline before and after the change point. RESULTS: Among participants who were dementia free at enrollment and developed incident AD, the change point occurred on average 5.7 years after enrollment and the rate of cognitive decline after the change point nearly quadrupled. Age, education, and APOE status play important but different roles in the timing of the onset of cognitive impairment and in the rates of decline before and after its onset. Results were similar among participants who were cognitively unimpaired at enrollment but later developed amnestic MCI or AD. CONCLUSIONS: The random change point model provides a more comprehensive understanding of the relation of risk factors with the onset of cognitive impairment and rates of decline before and after its onset.",04/07/2005,73-83,Neuroepidemiology,PubMed,PMID: 22814083 PMCID: PMC3484884,http://www.ncbi.nlm.nih.gov/pubmed/22814083,"Aged; Aged, 80 and over; Female; Humans; Male; Alzheimer Disease; Risk Factors; Cognition; Cognitive Dysfunction; Apolipoproteins E; Disease Progression; Neuropsychological Tests; Incidence; Models, Psychological",
ROS,LNI5BFPX,journalArticle,2012,"Buchman, Aron S.; Shulman, Joshua M.; Nag, Sukriti; Leurgans, Sue E.; Arnold, Steven E.; Morris, Martha C.; Schneider, Julie A.; Bennett, David A.",Nigral pathology and parkinsonian signs in elders without Parkinson disease,Annals of Neurology,1531-8249,10.1002/ana.22588,"OBJECTIVE: Motor symptoms such as mild parkinsonian signs are common in older persons, but little is known about their underlying neuropathology. We tested the hypothesis that nigral pathology is related to parkinsonism in older persons without Parkinson disease (PD). METHODS: More than 2,500 persons participating in the Religious Orders Study or the Memory and Aging Project agreed to annual assessment of parkinsonism with a modified version of the Unified Parkinson Disease Rating Scale and brain donation. Brains from 744 deceased participants without PD were assessed for nigral neuronal loss and α-synuclein immunopositive Lewy bodies. RESULTS: Mean age at death was 88.5 years. Mean global parkinsonism was 18.6 (standard deviation, 11.90). About ⅓ of cases had mild or more severe nigral neuronal loss, and about 17% had Lewy bodies. In separate regression models that adjusted for age, sex, and education, nigral neuronal loss and Lewy bodies were both related to global parkinsonism (neuronal loss: estimate, 0.231; standard error [SE], 0.068; p < 0.001; Lewy bodies: estimate, 0.291; SE, 0.133; p = 0.029). Employing a similar regression model that included both measures, neuronal loss remained associated with global parkinsonism (neuronal loss: estimate, 0.206; SE, 0.075; p = 0.006). By contrast, the association between Lewy bodies and global parkinsonism was attenuated by >60% and was no longer significant (Lewy bodies: estimate, 0.112; SE, 0.148; p = 0.447), suggesting that neuronal loss may mediate the association of Lewy bodies with global parkinsonism. INTERPRETATION: Nigral pathology is common in persons without PD and may contribute to loss of motor function in old age.",2012-02,258-266,Ann Neurol,PubMed,PMID: 22367997 PMCID: PMC3367476,http://www.ncbi.nlm.nih.gov/pubmed/22367997,"Aged, 80 and over; Female; Humans; Male; Aging; Neurons; Parkinson Disease; Lewy Bodies; Severity of Illness Index; Substantia Nigra; Regression Analysis; Psychiatric Status Rating Scales",
ROS,IXJFDWUP,journalArticle,2012,"Cruchaga, Carlos; Haller, Gabe; Chakraverty, Sumitra; Mayo, Kevin; Vallania, Francesco L. M.; Mitra, Robi D.; Faber, Kelley; Williamson, Jennifer; Bird, Tom; Diaz-Arrastia, Ramon; Foroud, Tatiana M.; Boeve, Bradley F.; Graff-Radford, Neill R.; St Jean, Pamela; Lawson, Michael; Ehm, Margaret G.; Mayeux, Richard; Goate, Alison M.; NIA-LOAD/NCRAD Family Study Consortium","Rare variants in APP, PSEN1 and PSEN2 increase risk for AD in late-onset Alzheimer's disease families",PloS One,1932-6203,10.1371/journal.pone.0031039,"Pathogenic mutations in APP, PSEN1, PSEN2, MAPT and GRN have previously been linked to familial early onset forms of dementia. Mutation screening in these genes has been performed in either very small series or in single families with late onset AD (LOAD). Similarly, studies in single families have reported mutations in MAPT and GRN associated with clinical AD but no systematic screen of a large dataset has been performed to determine how frequently this occurs. We report sequence data for 439 probands from late-onset AD families with a history of four or more affected individuals. Sixty sequenced individuals (13.7%) carried a novel or pathogenic mutation. Eight pathogenic variants, (one each in APP and MAPT, two in PSEN1 and four in GRN) three of which are novel, were found in 14 samples. Thirteen additional variants, present in 23 families, did not segregate with disease, but the frequency of these variants is higher in AD cases than controls, indicating that these variants may also modify risk for disease. The frequency of rare variants in these genes in this series is significantly higher than in the 1,000 genome project (p = 5.09 × 10⁻⁵; OR = 2.21; 95%CI = 1.49-3.28) or an unselected population of 12,481 samples (p = 6.82 × 10⁻⁵; OR = 2.19; 95%CI = 1.347-3.26). Rare coding variants in APP, PSEN1 and PSEN2, increase risk for or cause late onset AD. The presence of variants in these genes in LOAD and early-onset AD demonstrates that factors other than the mutation can impact the age at onset and penetrance of at least some variants associated with AD. MAPT and GRN mutations can be found in clinical series of AD most likely due to misdiagnosis. This study clearly demonstrates that rare variants in these genes could explain an important proportion of genetic heritability of AD, which is not detected by GWAS.",04/07/2005,e31039,PLoS One,PubMed,PMID: 22312439 PMCID: PMC3270040,http://www.ncbi.nlm.nih.gov/pubmed/22312439,"Adult; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Mutation; Genetic Predisposition to Disease; Pedigree; Alzheimer Disease; tau Proteins; Amyloid beta-Protein Precursor; Intercellular Signaling Peptides and Proteins; Progranulins; Presenilin-1; Presenilin-2",
ROS,AAIEV86S,journalArticle,2012,"Etkin, Caryn D.; Farran, Carol J.; Barnes, Lisa L.; Shah, Raj C.",Recruitment and enrollment of caregivers for a lifestyle physical activity clinical trial,Research in Nursing & Health,1098-240X,10.1002/nur.20466,"This article presents the efficacy of the recruitment framework used for a clinical trial with sedentary family caregivers of persons with Alzheimer's disease. An integrated social marketing approach with principles of community-based participatory research provided the theoretical framework for organizing recruitment activities. This multi-pronged approach meant that caregivers were identified from a range of geographic locations and numerous sources including a federally funded Alzheimer's disease center, health care providers, community based and senior organizations, and broad-based media. Study enrollment projections were exceeded by 11% and resulted in enrolling n = 211 caregivers into this clinical trial. We conclude that social marketing and community-based approaches provide a solid foundation for organizing recruitment activities for clinical trials with older adults.",2012-02,70-81,Res Nurs Health,PubMed,PMID: 22083931 PMCID: PMC3729020,http://www.ncbi.nlm.nih.gov/pubmed/22083931,Female; Humans; Male; Middle Aged; Clinical Trials as Topic; Alzheimer Disease; Caregivers; Chicago; Exercise; Motor Activity; Life Style; Patient Selection,
ROS,3CZCLU2F,journalArticle,2012,"Perez, Sylvia E.; Getova, Damianka P.; He, Bin; Counts, Scott E.; Geula, Changiz; Desire, Laurent; Coutadeur, Severine; Peillon, Helene; Ginsberg, Stephen D.; Mufson, Elliott J.",Rac1b increases with progressive tau pathology within cholinergic nucleus basalis neurons in Alzheimer's disease,The American Journal of Pathology,1525-2191,10.1016/j.ajpath.2011.10.027,"Cholinergic basal forebrain (CBF) nucleus basalis (NB) neurons display neurofibrillary tangles (NFTs) during Alzheimer's disease (AD) progression, yet the mechanisms underlying this selective vulnerability are currently unclear. Rac1, a member of the Rho family of GTPases, may interact with the proapoptotic pan-neurotrophin receptor p75(NTR) to induce neuronal cytoskeletal abnormalities in AD NB neurons. Herein, we examined the expression of Rac1b, a constitutively active splice variant of Rac1, in NB cholinergic neurons during AD progression. CBF tissues harvested from people who died with a clinical diagnosis of no cognitive impairment (NCI), mild cognitive impairment, or AD were immunolabeled for both p75(NTR) and Rac1b. Rac1b appeared as cytoplasmic diffuse granules, loosely aggregated filaments, or compact spheres in p75(NTR)-positive NB neurons. Although Rac1b colocalized with tau cytoskeletal markers, the percentage of p75(NTR)-immunoreactive neurons expressing Rac1b was significantly increased only in AD compared with both mild cognitive impairment and NCI. Furthermore, single-cell gene expression profiling with custom-designed microarrays showed down-regulation of caveolin 2, GNB4, and lipase A in AD Rac1b-positive/p75(NTR)-labeled NB neurons compared with Rac1b-negative/p75(NTR)-positive perikarya in NCI. These proteins are involved in Rac1 pathway/cell cycle progression and lipid metabolism. These data suggest that Rac1b expression acts as a modulator or transducer of various signaling pathways that lead to NFT formation and membrane dysfunction in a subgroup of CBF NB neurons in AD.",2012-02,526-540,Am J Pathol,PubMed,PMID: 22142809 PMCID: PMC3349868,http://www.ncbi.nlm.nih.gov/pubmed/22142809,"Aged; Aged, 80 and over; Female; Humans; Male; Cells, Cultured; RNA, Messenger; Down-Regulation; Signal Transduction; RNA Splicing; Alzheimer Disease; tau Proteins; Disease Progression; Cerebellar Cortex; Tauopathies; Basal Nucleus of Meynert; Cadaver; Caveolin 2; Cholinergic Neurons; GTP-Binding Protein beta Subunits; rac1 GTP-Binding Protein; Receptor, Nerve Growth Factor; Sterol Esterase",
